Enrollment_ID,Semester,Grade,Student_ID,Course_ID
1201,5th,A,23105128001,105501
1202,5th,A-,23105128001,105502
1203,5th,B+,23105128001,105503
1204,5th,A,23105128001,105504
1205,5th,B,23105128001,100508
1206,5th,B+,23105128002,105501
1207,5th,A,23105128002,105502
1208,5th,A-,23105128002,105503
1209,5th,B,23105128002,105504
1210,5th,A,23105128002,100508
1211,5th,A,23105128003,105501
1212,5th,B+,23105128003,105502
1213,5th,B,23105128003,105503
1214,5th,A-,23105128003,105504
1215,5th,A,23105128003,100508
1216,5th,A-,23105128004,105501
1217,5th,A,23105128004,105502
1218,5th,B+,23105128004,105503
1219,5th,B,23105128004,105504
1220,5th,A,23105128004,100508
1221,5th,B+,23105128005,105501
1222,5th,A-,23105128005,105502
1223,5th,A,23105128005,105503
1224,5th,B,23105128005,105504
1225,5th,A,23105128005,100508
1226,5th,A,23105128006,105501
1227,5th,B+,23105128006,105502
1228,5th,A-,23105128006,105503
1229,5th,B,23105128006,105504
1230,5th,A,23105128006,100508
1231,5th,A-,23105128007,105501
1232,5th,A,23105128007,105502
1233,5th,B+,23105128007,105503
1234,5th,B,23105128007,105504
1235,5th,A,23105128007,100508
1236,5th,B,23105128008,105501
1237,5th,A-,23105128008,105502
1238,5th,A,23105128008,105503
1239,5th,B+,23105128008,105504
1240,5th,A,23105128008,100508
1241,5th,A,23105128009,105501
1242,5th,B+,23105128009,105502
1243,5th,A-,23105128009,105503
1244,5th,B,23105128009,105504
1245,5th,A,23105128009,100508
1246,5th,A-,23105128010,105501
1247,5th,A,23105128010,105502
1248,5th,B+,23105128010,105503
1249,5th,B,23105128010,105504
1250,5th,A,23105128010,100508
