"COURSE_NAME","UPDATED_CREDITS"
"Machine Learning","5"
"Computer Networks","5"
"Artificial Intelligence","5"
"Control Systems","5"
"Power Electronics","5"
"Power Systems I","5"
"Professional Skill Development","3"
"Design Thinking","4"
"Environmental Engineering I","5"
"Geotechnical Engineering I","5"
"Hydrology and Water Resources","5"
"Hydraulic Engineering","5"
"Mechanics of Materials","5"
"Transportation Engineering","5"
"Fluid Machinery","5"
"Heat Transfer","5"
"Manufacturing Processes","5"
"Kinematics of Machinery","5"
"Artificial Intelligence","5"
"Database Management Systems","5"
"Formal Language and Automata","5"
"Software Engineering","5"
"Analog and Digital","5"
"3D Modelling","5"
"3D Character Design","5"
"3D Texturing","5"
"Machine Learning","5"
"Hydraulic Engineering","5"
"Geotechnical Engineering I","5"
"Hydrology and Water Resources","5"
"Environmental Engineering I","5"
"Transportation Engineering","5"
